30F33A	+plugg srl
0018F2	Beijing Tianyu Communication Equipment Co., Ltd
001332	Beijing Topsec Network Security Technology Co., Ltd.
DC2DCB	Beijing Unis HengYue Technology Co., Ltd.
ECE154	Beijing Unisound Information Technology Co.,Ltd.
9C039E	Beijing Winchannel Software Technology Co., Ltd
C4BAA3	Beijing Winicssec Technologies Co., Ltd.
000BD4	Beijing Wise Technology & Science Development Co.Ltd
3CBD3E	Beijing Xiaomi Electronics Co., Ltd.
C0B713	Beijing Xiaoyuer Technology Co. Ltd.
001812	Beijing Xinwei Telecom Technology Co., Ltd.
A89008	Beijing Yuecheng Technology Co. Ltd.
3C081E	Beijing Yupont Electric Power Technology Co.,Ltd
5C8613	Beijing Zhoenet Technology Co., Ltd
6C391D	Beijing ZhongHuaHun Network Information center
00249A	Beijing Zhongchuang Telecommunication Test Co., Ltd.
385AA8	Beijing Zhongdun Security Technology Development Co.
00096F	Beijing Zhongqing Elegant Tech. Corp.,Limited
305D38	Beissbarth
C8FE30	Bejing DAYO Mobile Communication Technology Ltd.
C8478C	Beken Corporation
7C092B	Bekey A/S
000DBE	Bel Fuse Europe Ltd.,UK
0012F4	Belco International Co.,Ltd.
001943	Belden
3CB9A6	Belden Deutschland GmbH
94AEE3	Belden Hirschmann Industries (Suzhou) Ltd.
0025E6	Belgian Monitoring Systems bvba
001150	Belkin Corporation
00173F	Belkin International Inc.
00801A	Bell Atlantic
000075	Bell Northern Research (BNR)
001CAA	Bellon Pty Ltd
001F36	Bellwin Information Co. Ltd.,
000725	Bematech International Corp.
8065E9	BenQ Corporation
B8A3E0	BenRui Technology Co.,Ltd
0002C0	Bencent Tzeng Industry Co., Ltd.
000E9C	Benchmark Electronics
002359	Benchmark Electronics ( Thailand ) Public Company Limited
907990	Benchmark Electronics Romania SRL
000878	Benchmark Storage Innovations
E0AEB2	Bender GmbH &amp; Co.KG
0023DC	Benein, Inc
002412	Benign Technologies Co, Ltd.
DCD0F7	Bentek Systems Ltd.
F43E9D	Benu Networks, Inc.
08ACA5	Benu Video, Inc.
000BFF	Berkeley Camera Engineering
74F85D	Berkeley Nucleonics Corp
00014C	Berkeley Process Control
001F2F	Berker GmbH & Co. KG
00213B	Berkshire Products, Inc
000E4C	Bermai Inc.
A01917	Bertel S.p.a.
54F666	Berthold Technologies GmbH and Co.KG
5850E6	Best Buy Corporation
001EA6	Best IT World (India) Pvt. Ltd.
001E1A	Best Source Taiwan Inc.
D82986	Best Wish Technology LTD
001DB6	BestComm Networks, Inc.
D0B523	Bestcare Cloucal Corp.
748E08	Bestek Corp.
F8DAE2	Beta LaserMike
B4D8A9	BetterBots
001C03	Betty TV Technology AG
186882	BewardR&               # Beward R&D Co., Ltd.
0013C9	Beyond Achieve Enterprises Ltd.
8C640B	Beyond Devices d.o.o.
00191E	Beyondwiz Co., Ltd.
684352	Bhuu Limited
F02FD8	Bi2-Vision
000B54	BiTMICRO Networks, Inc.
000684	Biacore AB
000F3F	Big Bear Networks
5C16C7	Big Switch Networks
00033F	BigBand Networks, Ltd.
002254	Bigelow Aerospace
001903	Bigfoot Networks Inc
001677	Bihl + Wiedemann GmbH
F0ED1E	Bilkon Bilgisayar Kontrollu Cih. Im.Ltd.
001060	Billington			Novell NE200 Compatible
600347	Billion Electric Co. Ltd.
0004ED	Billion Electric Co., Ltd.
000D89	Bils Technology Inc
00249C	Bimeng Comunication System Co. Ltd
000AE2	Binatone Electronics International, Ltd
0CD2B5	Binatone Telecommunication Pvt. Ltd
081FEB	Bincube
0090D4	BindView Development Corp.
001C38	Bio-Rad Laboratories, Inc.
EC14F6	BioControl AS
40D40E	Biodata Ltd
0023FE	Biodevices, SA
507D02	Biodit
00BAC0	Biometric Access Company
401D59	Biometric Associates, LP
0002BD	Bionet Co., Ltd.
A4DA3F	Bionics Corp.
B0C205	Bionime
001F15	Bioscrypt Inc
9CBEE0	Biosoundlab Co., Ltd.
001361	Biospace Co., Ltd.
001BB6	Bird Electronic Corp.
00080B	Birka BPA Informationssystem AB
C03F2A	Biscotti, Inc.
4CBAA3	Bison Electronics Inc.
0006E7	Bit Blitz Communications Inc.
C0B8B1	BitBox Ltd
944A09	BitWise Controls
6C4A39	Bita
0012CC	Bitatek CO., LTD
E8447E	Bitdefender SRL
08115E	Bitel Co., Ltd.
000708	Bitrage Inc.
0006A3	Bitran Corporation
002527	Bitrode Corp.
001926	BitsGen Co., Ltd.
000B3E	BittWare, Inc
1801E3	Bittium Wireless Ltd
0007E2	Bitworks, Inc.
00062C	Bivio Networks
001ADA	Biz-2-Me Inc.
9CEBE8	BizLink (Kunshan) Co.,Ltd
0040C1	Bizerba-	# Bizerba-Werke Wilheim Kraut
008C10	Black Box Corp.
E86183	Black Diamond Advanced Technology, LLC
000F86	BlackBerry RTS
002487	Blackboard Inc.
7C2E0D	Blackmagic Design
B829F7	Blaster Tech
001F5F	Blatand GmbH
001961	Blaupunkt  Embedded Systems GmbH
000387	Blaze Network Products
3CA315	Bless Information & Communications Co., Ltd
001FAE	Blick South Africa (Pty) Ltd
0CA138	Blinq Wireless Inc.
001439	Blonder Tongue Laboratories, Inc.
F03A4B	Bloombase, Inc.
002028	Bloomberg
001BEF	Blossoms Digital Technology Co.,Ltd.
D8B6D6	Blu Tether Limited
10C07C	Blu-ray Disc Association
001740	Bluberi Gaming Technologies Inc
2CFD37	Blue Calypso, Inc.
4CF45B	Blue Clover Devices
001F78	Blue Fox Porini Textile
0005EB	Blue Ridge Networks, Inc.
0018EB	Blue Zen Enterprises Private Limited
001FA5	Blue-White Industries
00060A	Blue2space
001CD8	BlueAnt Wireless
003017	BlueArc UK Ltd
003AAF	BlueBit Ltd.
0011B1	BlueExpert Technology Corp.
0008FD	BlueKorea Co., Ltd.
0012A1	BluePacket Communications Co., Ltd.
ECFE7E	BlueRadios, Inc.
0009C9	BlueWINC Co., Ltd.
A4A4D3	Bluebank Communication Technology Co.Ltd
00167F	Bluebird Soft Inc.
001E38	Bluecard Software Technology Co., Ltd.
0017D6	Bluechips Microhouse Co.,Ltd.
B8AD3E	Bluecom
000780	Bluegiga Technologies OY
000816	Bluelon ApS
C44E1F	Bluen
001B46	Blueone Technology Co.,Ltd
A429B7	Bluesky
0008F4	Bluetake Technology Co., Ltd.
002635	Bluetechnix GmbH
000F79	Bluetooth Interest Group Inc.
001958	Bluetooth SIG, Inc.
000A77	Bluewire Technologies LLC
84E629	Bluwan SA
002131	Blynke Inc.
74F07D	BnCOM Co.,Ltd
185D9A	BobjGear LLC
0015EC	Boca Devices LLC
00C06D	Boca Research, Inc.
000B84	Bodet
94A7BC	BodyMedia, Inc.
005093	Boeing
A42983	Boeing Defence Australia
94E2FD	Boge Kompressoren OTTO Boge GmbH & Co. KG
00184C	Bogen Communications
20A787	Bointec Taiwan Corporation Limited
B8653B	Bolymin, Inc.
0011BD	Bombardier Transportation
00087E	Bon Electro-Telecom Inc.
0CE82F	Bonfiglioli Vectron GmbH
90D74F	Bookeen
001473	Bookham Inc
303335	Boosty
B45570	Borea
0030EC	Borgardt
000759	Boris Manufacturing Corp.
84FEDC	Borqs Beijing Ltd.
001017	Bosch Access Systems GmbH
70C6AC	Bosch Automotive Aftermarket
000B0F	Bosch Rexroth
000463	Bosch Security Systems
001C44	Bosch Security Systems BV
000131	Bosch Security Systems, Inc.
7CACB2	Bosch Software Innovations GmbH
000C8A	Bose Corporation
94A04E	Bostex Technology Co., LTD
000F19	Boston Scientific
1CADD1	Bosung Electronics Co., Ltd.
00035D	Bosung Hi-Net Co., Ltd.
001F70	Botik Technologies LTD
0019B8	Boundary Devices
0014AC	Bountiful WiFi
00C0FF	Box Hill Systems Corporation
9C4EBF	Boxcast
F45842	Boxx TV Ltd
001FBA	Boyoung Tech
4C7403	Bq
888C19	Brady Corp Asia Pacific Ltd
206FEC	Braemac CA LLC
D47208	Bragi GmbH
000A4F	Brain Boxes Limited
7071B3	Brain Corporation
0007C8	Brain21, Inc.
000AD5	Brainchild Electronic Co., Ltd.
000F83	Brainium Technologies Inc.
0001BC	Brains Corporation
00094D	Braintree Communications Pty Ltd
002134	Brandywine Communications
00054D	Brans Technologies, Inc.
000683	Bravara Communications, Inc.
58FD20	Bravida Sakerhet AB
E01CEE	Bravo Tech, Inc.
001AC5	BreakingPoint Systems, Inc.
A81559	Breathometer, Inc.
002228	Breeze Innovations Ltd.
000494	Breezecom, Ltd.
00010E	Bri-Link Technologies Co., Ltd
0455CA	BriView (Xiamen) Corp.
000A1C	Bridge Information Co., Ltd.
0003AB	Bridge Information Systems
002464	Bridge Technologies Co AS
00035B	BridgeWave Communications
0007F5	Bridgeco Co AG
00041B	Bridgeworks Ltd.
000DD7	Bright
001739	Bright Headphone Electronics Company
90AC3F	BrightSign LLC
000714	Brightcom
5C8486	Brightsource Industries Israel LTD
7C1015	Brilliant Home Technology, Inc.
00180B	Brilliant Telecommunications
001E0F	Briot International
0007AE	Britestream Networks, Inc.
00B0E7	British Federal Ltd.
0000DB	British Telecommunications plc
001D00	Brivo Systems, LLC
00308B	Brix Networks
084EBF	Broad Net Mux Corporation
00064E	Broad Net Technology Inc.
48C049	Broad Telecom SA
001229	BroadEasy Technologies Co.,Ltd
000880	BroadTel Canada Communications inc.
000A9E	BroadWeb Corportation
0019CA	Broadata Communications, Inc
A88792	Broadband Antenna Tracking Systems
00256D	Broadband Forum
000FB2	Broadband Pacenet (India) Pvt. Ltd.
0024C8	Broadband Solutions Group
00A00F	Broadband Technologies
000C0B	Broadbus Technologies
B058C4	Broadcast Microwave Services, Inc
0080CE	Broadcast Television Systems
000AF7	Broadcom
B02628	Broadcom Limited
0005B5	Broadcom Technologies
000298	Broadframe Corporation
B4430D	Broadlink Pty Ltd
0004A8	Broadmax Technologies, Inc.
0023C0	Broadway Networks
000088	Brocade Communications Systems, Inc.
0002DD	Bromax Communications, Ltd.
001A21	Brookhuis Applied Technologies BV
000AA9	Brooks Automation GmbH
00A0ED	Brooks Automation, Inc.
3C2AF4	Brother Industries, LTD.
001BA9	Brother industries, LTD.
001787	Brother, Brother & Sons ApS
001FAD	Brown Innovations, Inc
0080DA	Bruel & Kjaer
001EA1	Brunata a/s
8016B7	Brunel University
000977	Brunner Elektronik AG
B40B7A	Brusa Elektronik AG
046D42	Bryston Ltd.
709BFC	Bryton Inc.
44EE30	Budelmann Elektronik GmbH
002133	Building B, Inc
C8F704	Building Block Video
080038	Bull
C411E0	Bull Group Co., Ltd
000EBD	Burdick, a Quinton Compny
00236E	Burster GmbH & Co KG
001673	Bury GmbH & Co. KG
D85DEF	Busch-Jaeger Elektro GmbH
0014F0	Business Security OL AB
603553	Buwon Technology
001881	Buyang Electronics Industrial Co., Ltd
001CCE	By Techdesign
0021EA	Bystronic Laser AG
ACE87E	Bytemark Computer Consulting Ltd
00224F	Byzoro Networks Ltd.
00117B	Büchi  Labortechnik AG
DCB058	Bürkert Werke GmbH
8C598B	C Technologies AB
E446BD	C&C TECHNIC TAIWAN CO., LTD.
00093E	C&I Technologies
0008F2	C&S Technology
AC40EA	C&T Solution Inc.
001DDB	C-BEL Corporation
0001EB	C-COM Corporation
000297	C-COR.net
000224	C-Cor
E067B3	C-Data Technology Co., Ltd
902CC7	C-MAX Asia Limited
00233B	C-Matic Systems Ltd
78DDD6	C-Scape
000EDA	C-TECH UNITED CORP.
000E10	C-guys, Inc.
00808F	C. ITOH ELECTRONICS, INC.
0040E6	C.A.E.N.
60FFDD	C.E. ELECTRONICS, INC
D80CCF	C.G.V. S.A.S.
00056B	C.P. Technology Co., Ltd.
DC647C	C.R.S. iiMotion GmbH
001ACF	C.T. ELETTRONICA
D89760	C2 Development, Inc.
E0BC43	C2 Microsystems, Inc.
84C7A9	C3PO S.A.
001418	C4line
28401A	C8 MediSensors, Inc.
0002E7	CAB GmbH & Co KG
000141	CABLE PRINT
000F57	CABLELOGIC Co., Ltd.
00C09E	CACHE COMPUTERS, INC.
00015C	CADANT INC.
AC6B0F	CADENCE DESIGN SYSTEMS INC
0030C5	CADENCE DESIGN SYSTEMS, INC.
0080D5	CADRE TECHNOLOGIES
005064	CAE ELECTRONICS
001D57	CAETEC Messtechnik
002212	CAI Networks, Inc.
001452	CALCULEX,INC.
000CF3	CALL IMAGE SA
00B0F0	CALY NETWORKS
00502E	CAMBEX CORPORATION
00257A	CAMCO Produktions- und Vertriebs-GmbH für  Beschallungs- und Beleuchtungsanlagen
00D02C	CAMPBELL SCIENTIFIC, INC.
00D067	CAMPIO COMMUNICATIONS
002012	CAMTRONICS MEDICAL SYSTEMS
385610	CANDY HOUSE, Inc.
0017DB	CANKO TECHNOLOGIES INC.
000220	CANON FINETECH INC.
000085	CANON INC.
000FA0	CANON KOREA BUSINESS SOLUTIONS INC.
0024E3	CAO Group
183864	CAP-TECH INTERNATIONAL CO., LTD.
0050A5	CAPITOL BUSINESS SYSTEMS, LTD.
00A030	CAPTOR NV/SA
001070	CARADON TREND LTD.
009D8E	CARDIAC RECORDERS, INC.
0090DE	CARDKEY SYSTEMS, INC.
00A076	CARDWARE LAB, INC.
002667	CARECOM CO.,LTD.
00D0F4	CARINTHIAN TECH INSTITUTE
00200D	CARL ZEISS
0019EE	CARLO GAVAZZI CONTROLS SPA-Controls Division
0050A1	CARLO GAVAZZI, INC.
08007F	CARNEGIE-MELLON UNIVERSITY
001CDB	CARPOINT CO.,LTD
00E097	CARRIER ACCESS CORPORATION
006029	CARY PERIPHERALS INC.
000915	CAS Corp.
0060D1	CASCADE COMMUNICATIONS
DC49C9	CASCO SIGNAL LTD
0016F3	CAST Information Co., Ltd
000BFE	CASTEL Broadband Limited
00205E	CASTLE ROCK, INC.
003054	CASTLENET TECHNOLOGY, INC.
0004C3	CASTOR Informatique
083571	CASwell INC.
B0E39D	CAT SYSTEM CO.,LTD.
0494A1	CATCH THE WIND INC
000815	CATS Co., Ltd.
D85D84	CAx soft GmbH
001CB8	CBC Co., Ltd
001E7F	CBM of America
002605	CC Systems AB
5CF370	CC&C Technologies, Inc
000272	CC&C Technologies, Inc.
0002EF	CCC Network Systems Group Ltd.
001F8C	CCS Inc.
001983	CCT R&D Limited
001339	CCV Deutschland GmbH
001A58	CCV Deutschland GmbH - Celectronic eHealth Div.
54489C	CDOUBLES ELECTRONICS CO. LTD.
78888A	CDR Sp. z o.o. Sp. k.
000575	CDS-Electronics BV
00071B	CDVI Americas Ltd
5CCEAD	CDYNE Corporation
002717	CE Digital(Zhenjiang)Co.,Ltd
A0CEC8	CE LINK LIMITED
00120C	CE-Infosys Pte Ltd
001822	CEC TELECOM CO.,LTD.
0017CD	CEC Wireless R&D Ltd.
18104E	CEDINT-UPM
00C0CE	CEI SYSTEMS & ENGINEERING PTE
000A26	CEIA S.p.A.
D4507A	CEIVA Logic, Inc
00605A	CELCORE, INC.
00E0EC	CELESTICA INC.
5C0CBB	CELIZION Inc.
00E053	CELLPORT LABS, INC.
FC3288	CELOT Wireless Co., Ltd
0005A2	CELOX Networks
DCAE04	CELOXICA Ltd
000879	CEM Corporation
0017F7	CEM Solutions Pvt Ltd
00183B	CENITS Co., Ltd.
0020BA	CENTER FOR HIGH PERFORMANCE
009015	CENTIGRAM COMMUNICATIONS CORP.
0024BB	CENTRAL Corporation
00A0E7	CENTRAL DATA CORPORATION
A04E01	CENTRAL ENGINEERING co.,ltd.
0090ED	CENTRAL SYSTEM RESEARCH CO., LTD.
008097	CENTRALP AUTOMATISMES
00A022	CENTRE FOR DEVELOPMENT OF ADVANCED COMPUTING
00250B	CENTROFACTOR  INC
58E476	CENTRON COMMUNICATIONS TECHNOLOGIES FUJIAN CO.,LTD
00E037	CENTURY CORPORATION
C81073	CENTURY OPTICOMM CO.,LTD
000749	CENiX Inc.
B0DA00	CERA ELECTRONIQUE
000A25	CERAGON NETWORKS
00259A	CEStronics GmbH
001101	CET Technologies Pte Ltd
6872DC	CETORY.TV Company Limited
0016F9	CETRTA POT, d.o.o., Kranj
00253A	CEVA, Ltd.
001602	CEYON TECHNOLOGY CO.,LTD.
8CD17B	CG Mobile
001276	CG Power Systems Ireland Limited
508D6F	CHAHOO Limited
005070	CHAINTECH COMPUTER CO., LTD.
001DAE	CHANG TSENG TECHNOLOGY CO., LTD
0040BF	CHANNEL SYSTEMS INTERN'L INC.
0060B7	CHANNELMATIC, INC.
00179B	CHANT SINCERE CO.,LTD
0040E8	CHARLES RIVER DATA SYSTEMS,INC
00D0AA	CHASE COMMUNICATIONS
0C51F7	CHAUVIN ARNOUX
003025	CHECKOUT COMPUTER SYSTEMS, LTD
9CCD82	CHENG UEI PRECISION INDUSTRY CO.,LTD
E0F5CA	CHENG UEI PRECISION INDUSTRY CO.,LTD.
E89FEC	CHENGDU KT ELECTRONIC HI-TECH CO.,LTD
D464F7	CHENGDU USEE DIGITAL TECHNOLOGY CO., LTD
9C443D	CHENGDU XUGUANG TECHNOLOGY CO, LTD
000DFF	CHENMING MOLD INDUSTRY CORP.
001C1D	CHENZHOU GOSPELL DIGITAL TECHNOLOGY CO.,LTD
002092	CHESS ENGINEERING B.V.
00208E	CHEVIN SOFTWARE ENG. LTD.
984A47	CHG Hospital Beds
000C5D	CHIC TECHNOLOGY (CHINA) CORP.
A49005	CHINA GREATWALL COMPUTER SHENZHEN CO.,LTD
886B76	CHINA HOPEFUL GROUP HOPEFUL ELECTRIC CO.,LTD
001381	CHIPS & Systems, Inc.
C8B21E	CHIPSEA TECHNOLOGIES (SHENZHEN) CORP.
0030E4	CHIYODA SYSTEM RIKEN
A4F522	CHOFU SEISAKUSHO CO.,LTD
000152	CHROMATEK INC.
00002D	CHROMATICS INC
00500E	CHROMATIS NETWORKS, INC.
000F2D	CHUNG-HSIN ELECTRIC & MACHINERY MFG.CORP.
001A8B	CHUNIL ELECTRIC IND., CO.
704642	CHYNG HONG ELECTRONIC CO., LTD.
00003A	CHYRON CORPORATION
0015B5	CI Network Corp.
CCC8D7	CIAS Elettronica srl
A8827F	CIBN Oriental Network(Beijing) CO.,Ltd
001090	CIMETRICS, INC.
001122	CIMSYS Inc
0020EB	CINCINNATI MICROWAVE, INC.
00E0E5	CINCO NETWORKS, INC.
002046	CIPRICO, INC.
D8E3AE	CIRTEC MEDICAL SYSTEMS
00010A	CIS TECHNOLOGY INC.
00608A	CITADEL COMPUTER
001637	CITEL SpA
00A020	CITICORP/TTI
008D4E	CJSC NII STT
587521	CJSC RTSoft
DCE838	CK Telecom (Shenzhen) Limited
B86491	CK Telecom Ltd
3C831E	CKD Corporation
00109D	CLARINET SYSTEMS, INC.
00606F	CLARION CORPORATION OF AMERICA
FCE23F	CLAY PAKY SPA
001C20	CLB Benelux
00058F	CLCsoft co.
0080A9	CLEARPOINT RESEARCH
0090F5	CLEVO CO.
0090A7	CLIENTEC CORPORATION
0040A5	CLINICOMP INTL.
00FA3B	CLOOS ELECTRONIC GMBH
00230C	CLOVER ELECTRONICS CO.,LTD.
0010CC	CLP COMPUTER LOGISTIK PLANUNG GmbH
ACC2EC	CLT INT'L IND. CORP.
001922	CM Comandos Lineares
0017C1	CM Precision Technology LTD.
000E04	CMA/Microdialysis AB
CC7A30	CMAX Wireless Co., Ltd.
02CF1F	CMC
0050D2	CMC Electronics Inc
00208D	CMD TECHNOLOGY
001051	CMICRO CORPORATION
0003C8	CML Emergency Services
00306B	CMOS SYSTEMS, INC.
001A20	CMOTECH Co. Ltd.
4C022E	CMR KOREA CO., LTD
001093	CMS COMPUTERS, LTD.
0050BB	CMS TECHNOLOGIES
000DE2	CMZ Sistemi Elettronici
001E81	CNB Technology Inc.
000EA3	CNCR-IT CO.,LTD,HangZhou P.R.CHINA
80AD00	CNET Technology Inc. (Probably an error, see instead 0080AD)
5CB559	CNEX Labs
0030E7	CNF MOBILE SOLUTIONS, INC.
000CEB	CNMP Networks, Inc.
D0BE2C	CNSLink Co., Ltd.
00072D	CNSystems
0008A1	CNet Technology Inc.
0010B2	COACTIVE AESTHETICS
7C574E	COBI GmbH
2C09CB	COBS AB
0010FD	COCOM A/S
BC4100	CODACO ELECTRONIC s.r.o.
0040B1	CODONICS INC.
003023	COGENT COMPUTER SYSTEMS, INC.
009063	COHERENT COMMUNICATIONS SYSTEMS CORPORATION
20BB76	COL GIOVANNI PAOLO SpA
000F03	COM&C CO., LTD
000D64	COMAG Handels AG
00D07B	COMCAM INTERNATIONAL INC
00D003	COMDA ENTERPRISES CORP.
38A53C	COMECER Netherlands
002529	COMELIT GROUP S.P.A
004060	COMENDEC LTD
0025AF	COMFILE Technology
000BE7	COMFLUX TECHNOLOGY INC.
001D5E	COMING MEDIA CORP.
000CAB	COMMEND International
745327	COMMSEN CO., LIMITED
002631	COMMTACT LTD
001FD2	COMMTECH TECHNOLOGY MACAO COMMERCIAL OFFSHORE LTD.
00D02E	COMMUNICATION AUTOMATION CORP.
00902A	COMMUNICATION DEVICES, INC.
0010C8	COMMUNICATIONS ELECTRONICS SECURITY GROUP
00A09F	COMMVISION CORP.
002676	COMMidt AS
001068	COMOS TELECOM
004024	COMPAC INC.
00A0A0	COMPACT DATA, LTD.
00A053	COMPACT DEVICES, INC.
00023F	COMPAL ELECTRONICS, INC.
001B38	COMPAL INFORMATION (KUNSHAN) CO., LTD.
001F60	COMPASS SYSTEMS CORP.
0080EB	COMPCONTROL B.V.
0000CB	COMPU-SHACK ELECTRONIC GMBH
000053	COMPUCORP
00E084	COMPULITE R&D
000AB6	COMPUNETIX, INC
0060E4	COMPUSERVE, INC.
008070	COMPUTADORAS MICRON
006004	COMPUTADORES MODULARES SA
00D0C5	COMPUTATIONAL SYSTEMS, INC.
00E0D6	COMPUTER & COMMUNICATION RESEARCH LAB.
00006A	COMPUTER CONSOLES INC.
001ABE	COMPUTER HI-TECH INC.
00205A	COMPUTER IDENTICS
4C07C9	COMPUTER OFFICE Co.,Ltd.
00A03F	COMPUTER SOCIETY MICROPROCESSOR & MICROPROCESSOR STANDARDS C
001028	COMPUTER TECHNICA, INC.
001053	COMPUTER TECHNOLOGY CORP.
00A00B	COMPUTEX CO., LTD.
000914	COMPUTROLS INC.
00E06D	COMPUWARE CORPORATION
00A094	COMSAT CORPORATION
00E01A	COMTEC SYSTEMS. CO., LTD.
800A06	COMTEC co.,ltd
0020B1	COMTECH RESEARCH INC.
002049	COMTRON, INC.
0023B0	COMXION Technology Inc.
14D76E	CONCH ELECTRONIC Co.,Ltd
00904A	CONCUR SYSTEM TECHNOLOGIES
50D753	CONELCOM GmbH
4CB9C8	CONET CO., LTD.
0030CD	CONEXANT SYSTEMS, INC.
00300C	CONGRUENCY, LTD.
0026A7	CONNECT SRL
00D053	CONNECTED SYSTEMS
00A028	CONNER PERIPHERALS
0060FC	CONSERVATION THROUGH INNOVATION LTD.
000B3D	CONTAL OK Ltd.
0050DB	CONTEMPORARY CONTROL
0060A3	CONTINUUM TECHNOLOGY CORP.
00E080	CONTROL RESOURCES CORPORATION
0030C6	CONTROL SOLUTIONS, INC.
00E059	CONTROLLED ENVIRONMENTS, LTD.
006054	CONTROLWARE GMBH
504B5B	CONTROLtronic GmbH
00D010	CONVERGENT NETWORKS, INC.
00A0D9	CONVEX COMPUTER CORPORATION
00D0F0	CONVISION TECHNOLOGY GMBH
FC9FE1	CONWIN.Tech. Ltd
001BF6	CONWISE Technology Corporation Ltd.
001603	COOLKSKY Co., LTD
00261D	COP SECURITY SYSTEM CORP.
000ED5	COPAN Systems Inc.
00406C	COPERNIQUE
006058	COPPER MOUNTAIN COMMUNICATIONS, INC.
00A0B7	CORDANT, INC.
00506E	CORDER ENGINEERING CORPORATION
00176D	CORE CORPORATION
001C29	CORE DIGITAL ELECTRONICS CO., LTD
BC4E3C	CORE STAFF CO., LTD.
0060B8	CORELIS Inc.
0021C3	CORNELL Communications, Inc.
006055	CORNELL UNIVERSITY
00101B	CORNET TECHNOLOGY, INC.
001461	CORONA CORPORATION
005072	CORVIS CORPORATION
08004D	CORVUS SYSTEMS INC.
00D07D	COSINE COMMUNICATIONS
000DC7	COSMIC ENGINEERING INC.
D4945A	COSMO CO., LTD
F08BFE	COSTEL.,CO.LTD
005026	COSYSTEMS, INC.
0003BC	COT GmbH
001116	COTEAU VERT CO., LTD.
001172	COTRON CORPORATION
00A029	COULTER CORPORATION
0020C3	COUNTER SOLUTIONS LTD.
08005E	COUNTERPOINT COMPUTER INC.
001C6B	COVAX  Co. Ltd
001CDD	COWBELL ENGINEERING CO., LTD.
001E55	COWON SYSTEMS,Inc.
603FC5	COX CO., LTD
0010B7	COYOTE TECHNOLOGIES, LLC
001E5E	COmputime Ltd.
003015	CP CLARE CORP.
000999	CP GEORGES RENAULT
001D58	CQ Inc
003079	CQOS, INC.
00A018	CREATIVE CONTROLLERS, INC.
0080A2	CREATIVE ELECTRONIC SYSTEMS
00C04B	CREATIVE MICROSYSTEMS
00D0B6	CRESCENT NETWORKS, INC.
000ED4	CRESITT INDUSTRIE
00107F	CRESTRON ELECTRONICS, INC.
0014F7	CREVIS Co., LTD
001E89	CRFS Limited
00002B	CRISP AUTOMATION, INC
00A0C4	CRISTIE ELECTRONICS LTD.
080004	CROMEMCO INCORPORATED
000598	CRONOS S.r.l.
00308E	CROSS MATCH TECHNOLOGIES, INC.
00E002	CROSSROADS SYSTEMS, INC.
24C1BD	CRRC DALIAN R&D CO.,LTD.
60F59C	CRU-Dataport
009029	CRYPTO AG
006011	CRYSTAL SEMICONDUCTOR CORP.
00163F	CReTE SYSTEMS Inc.
B45861	CRemote, LLC
00A05D	CS COMPUTER SYSTEME GmbH
0018C3	CS Corporation
38C7BA	CS Services Co.,Ltd.
0002E9	CS Systemes De Securite - C3S
0000A5	CSC
189A67	CSE-Servelec Limited
000703	CSEE Transport
24ECD6	CSG Science & Technology Co.,Ltd.Hefei
0010C3	CSI-CONTROL SYSTEMS
0021C6	CSJ Global, Inc.
00800B	CSK CORPORATION
D46CDA	CSM GmbH
0020B2	CSP (Printline Multiconnectivity converter)
001C60	CSP Frontier Technologies,Inc.
AC2A0C	CSR ZHUZHOU INSTITUTE CO.,LTD.
0012CB	CSS Inc.
000038	CSS LABS
00243B	CSSI (S) Pte Ltd
BC39A6	CSUN System Technology Co.,LTD
0002AB	CTC Union Technologies Co., Ltd.
2CFCE4	CTEK Sweden AB
002525	CTERA Networks Ltd.
0010EE	CTI PRODUCTS, INC.
2C228B	CTR SRL
94CE31	CTS Limited
000E72	CTS electronics
001191	CTS-Clima Temperatur Systeme GmbH
001548	CUBE TECHNOLOGIES
0080E8	CUMULUS CORPORATIION
00D0AF	CUTLER-HAMMER, INC.
D4E90B	CVT CO.,LTD
0016A8	CWT CO., LTD.
002513	CXP DIGITAL BV
001B7D	CXR Anderson Jacobson
00408E	CXR/Digilog
C43C3C	CYBELEC SA
0020F7	CYBERDATA CORPORATION
008065	CYBERGRAPHIC SYSTEMS PTY LTD.
003068	CYBERNETICS TECH. CO., LTD.
2C3796	CYBO CO.,LTD.
00602E	CYCLADES CORPORATION
2464EF	CYG SUNRI CO.,LTD.
08004F	CYGNET SYSTEMS
00A035	CYLINK CORPORATION
00A050	CYPRESS SEMICONDUCTOR
001037	CYQ've Technology Co., Ltd.
003090	CYRA TECHNOLOGIES, INC.
000446	CYZENTECH Co., Ltd.
D858D7	CZ.NIC, z.s.p.o.
002008	Cable & Computer Technology
0019FA	Cable Vision Electronics CO., LTD.
004074	Cable and Wireless
001000	CableLabs
B4009C	CableWorld Ltd.
0007CE	Cabletime Limited
00001D	Cabletron
0020D4	Cabletron Systems, Inc.
0002B2	Cablevision
000F2A	Cableware Electronics
000A2D	Cabot Communications Limited
001F8B	Cache IQ
0030BB	CacheFlow, Inc.
00091C	CacheVision, Inc
008005	Cactus Computer Inc.
C455A6	Cadac Holdings Ltd
001220	Cadco Systems
94F551	Cadi Scientific Pte Ltd
